Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_cases,Death_Rate
Greece,202,1374,2651,34.0,0.0,0,4.78,32.51,14.7,4012,215,5.36,4227,4.778802933522592
Greenland,0,13,1,1.0,0.0,0,0.0,92.86,0.0,13,1,7.69,14,0.0
Grenada,0,23,0,0.0,0.0,0,0.0,100.0,0.0,23,0,0.0,23,0.0
Guatemala,1761,32455,11093,256.0,27.0,843,3.89,71.63,5.43,39039,6270,16.06,45309,3.886645037409786
Guinea,45,6257,753,47.0,2.0,105,0.64,88.69,0.72,6590,465,7.06,7055,0.6378454996456413
Guinea-Bissau,26,803,1125,0.0,0.0,0,1.33,41.1,3.24,1949,5,0.26,1954,1.3306038894575232
Guyana,20,181,188,1282.7401129943503,30.401129943502823,0,5.14,46.53,11.05,337,52,15.43,389,5.141388174807198
Haiti,158,4365,2817,25.0,1.0,0,2.15,59.47,3.62,7053,287,4.07,7340,2.1525885558583107
Holy See,0,12,0,0.0,0.0,0,0.0,100.0,0.0,12,0,0.0,12,0.0
Honduras,1166,5039,33536,465.0,50.0,117,2.93,12.68,23.14,34611,5130,14.82,39741,2.933997634684583
Hungary,596,3329,523,13.0,0.0,0,13.4,74.84,17.9,4339,109,2.51,4448,13.399280575539569
Iceland,10,1823,21,7.0,0.0,0,0.54,98.33,0.55,1839,15,0.82,1854,0.5393743257820928
India,33408,951166,495499,44457.0,637.0,33598,2.26,64.26,3.51,1155338,324735,28.11,1480073,2.2571859631247917
Indonesia,4838,58173,37292,1525.0,57.0,1518,4.82,58.0,8.32,88214,12089,13.7,100303,4.82338514301666
Iran,15912,255144,22550,2434.0,212.0,1931,5.42,86.9,6.24,276202,17404,6.3,293606,5.419507775726654
Iraq,4458,77144,30983,2553.0,96.0,1927,3.96,68.52,5.78,94693,17892,18.89,112585,3.9596749122884933
Ireland,1764,23364,764,11.0,0.0,0,6.81,90.24,7.55,25766,126,0.49,25892,6.812915186157886
Israel,474,27133,36378,2029.0,4.0,108,0.74,42.41,1.75,52003,11982,23.04,63985,0.7407986246776588
Italy,35112,198593,12581,168.0,5.0,147,14.26,80.64,17.68,244624,1662,0.68,246286,14.256595990027854
Jamaica,10,714,129,11.0,0.0,0,1.17,83.7,1.4,809,44,5.44,853,1.1723329425556859
Japan,998,21970,8174,594.0,0.0,364,3.2,70.55,4.54,25706,5436,21.15,31142,3.2046753580373775
Jordan,11,1041,124,8.0,0.0,0,0.94,88.52,1.06,1223,-47,-3.84,1176,0.935374149659864
Kazakhstan,585,54404,29659,1526.0,0.0,1833,0.69,64.27,1.08,73468,11180,15.22,84648,0.6910972497873547
Kenya,285,7833,9857,372.0,5.0,90,1.59,43.58,3.64,13771,4204,30.53,17975,1.5855354659248957
Kosovo,185,4027,3201,496.0,16.0,274,2.5,54.32,4.59,5877,1536,26.14,7413,2.495615810063402
Kuwait,438,55057,8884,606.0,5.0,684,0.68,85.52,0.8,59763,4616,7.72,64379,0.680346075583653
Kyrgyzstan,1301,21205,10790,483.0,24.0,817,3.91,63.69,6.14,27143,6153,22.67,33296,3.9073762614127823
Laos,0,19,1,0.0,0.0,0,0.0,95.0,0.0,19,1,5.26,20,0.0
Latvia,31,1045,143,1282.7401129943503,30.401129943502823,0,2.54,85.73,2.97,1192,27,2.27,1219,2.543068088597211
Lebanon,51,1709,2122,132.0,0.0,17,1.31,44.02,2.98,2905,977,33.63,3882,1.313755795981453
Lesotho,12,128,365,0.0,0.0,0,2.38,25.35,9.38,359,146,40.67,505,2.376237623762376
Liberia,72,646,449,5.0,0.0,5,6.17,55.36,11.15,1107,60,5.42,1167,6.169665809768637
Libya,64,577,2186,158.0,4.0,24,2.26,20.41,11.09,1980,847,42.78,2827,2.2638839759462326
Liechtenstein,1,81,4,0.0,0.0,0,1.16,94.19,1.23,86,0,0.0,86,1.1627906976744187
Lithuania,80,1620,319,11.0,0.0,4,3.96,80.24,4.94,1947,72,3.7,2019,3.96235760277365
Luxembourg,112,4825,1384,49.0,0.0,178,1.77,76.33,2.32,5639,682,12.09,6321,1.7718715393133997
Madagascar,91,6260,3339,395.0,6.0,681,0.94,64.6,1.45,7153,2537,35.47,9690,0.9391124871001032
Malawi,99,1645,1920,24.0,0.0,6,2.7,44.9,6.02,2992,672,22.46,3664,2.7019650655021836
Malaysia,124,8601,179,7.0,0.0,1,1.39,96.6,1.44,8800,104,1.18,8904,1.3926325247079965
Maldives,15,2547,807,67.0,0.0,19,0.45,75.6,0.59,2999,370,12.34,3369,0.44523597506678536
Mali,124,1913,476,3.0,1.0,2,4.93,76.12,6.48,2475,38,1.54,2513,4.934341424592121
Malta,9,665,27,1.0,0.0,0,1.28,94.86,1.35,677,24,3.55,701,1.2838801711840229
Mauritania,156,4653,1399,37.0,0.0,223,2.51,74.95,3.35,5923,285,4.81,6208,2.5128865979381443
Mauritius,10,332,2,0.0,0.0,0,2.91,96.51,3.01,343,1,0.29,344,2.9069767441860463
Mexico,44022,303810,47657,4973.0,342.0,8588,11.13,76.82,14.49,349396,46093,13.19,395489,11.131030193001576
Moldova,748,16154,6252,1282.7401129943503,30.401129943502823,245,3.23,69.77,4.63,21115,2039,9.66,23154,3.2305433186490458
Monaco,4,104,8,0.0,0.0,0,3.45,89.66,3.85,109,7,6.42,116,3.4482758620689653
Mongolia,0,222,67,1.0,0.0,4,0.0,76.82,0.0,287,2,0.7,289,0.0
Montenegro,45,809,2039,94.0,2.0,70,1.56,27.96,5.56,2188,705,32.22,2893,1.555478741790529
Morocco,316,16553,4018,609.0,3.0,115,1.51,79.25,1.91,17562,3325,18.93,20887,1.5129027624838416
Mozambique,11,0,1690,32.0,0.0,0,0.65,0.0,inf,1507,194,12.87,1701,0.6466784244562023
Namibia,8,101,1734,68.0,0.0,26,0.43,5.48,7.92,1344,499,37.13,1843,0.4340748779164406
Nepal,48,13754,4950,139.0,3.0,626,0.26,73.35,0.35,17844,908,5.09,18752,0.25597269624573377
Netherlands,6160,189,47064,419.0,1.0,0,11.53,0.35,3259.26,52132,1281,2.46,53413,11.532772920450078
New Zealand,22,1514,21,1282.7401129943503,30.401129943502823,1,1.41,97.24,1.45,1555,2,0.13,1557,1.4129736673089275
Nicaragua,108,2492,839,0.0,0.0,0,3.14,72.46,4.33,3147,292,9.28,3439,3.1404478045943587
Niger,69,1027,36,0.0,0.0,0,6.1,90.72,6.72,1105,27,2.44,1132,6.095406360424029
Nigeria,860,18203,22117,648.0,2.0,829,2.09,44.2,4.72,37225,3955,10.62,41180,2.0883924235065567
North Macedonia,466,5564,4183,127.0,6.0,137,4.56,54.48,8.38,9249,964,10.42,10213,4.562812102222658
Norway,255,8752,125,15.0,0.0,0,2.79,95.84,2.91,9034,98,1.08,9132,2.7923784494086727
